,Director_Avg_Movie_Revenue,Keywords_Avg_Revenue,Studios_Avg_Movie_Revenue,Lead_Actor_Avg_Movie_Revenue,Budget,Class
1116,112343513.0,86173050.75,90870106.05,338393100.125,38000000.0,1
1117,56991143.0,82093671.51,79814971.94,83460959.33,37000000.0,1
1118,83298631.17,87558251.41,310095739.475,338393100.125,37000000.0,1
1119,127586016.75,104090910.62,116313035.08,119451984.52,36000000.0,1
1120,79938029.0,90041678.29,141026695.61,100342501.2,65000000.0,1
1121,243483331.0,76556419.72,223156034.13,309886831.0,37000000.0,1
1122,202534638.67,38249570.85,65254340.0,54605147.0,36000000.0,1
1123,41963199.0,55381046.65,59770141.96,92591418.31,36000000.0,1
1124,56991143.0,88566700.67,159028557.43,83460959.33,36000000.0,1
1125,45265583.0,65597905.05,36479301.71,176706475.12,34000000.0,0
1126,101968533.43,64832272.86,90457280.75,338393100.125,36000000.0,1
1127,120448562.0,68994890.39,100187261.62,192674274.12,37000000.0,0
1128,73072497.91,64249966.33,97652397.8,58206792.2,36000000.0,0
1129,54035992.25,39878265.37,182936872.6,22831113.56,36000000.0,0
1130,92780354.5,116071531.73,137269916.12,32271905.43,37000000.0,1
1131,68479617.25,127128091.29,109339534.45,22831113.56,36000000.0,0
1132,58156519.5,69967727.63,78876949.24,17923164.25,36000000.0,0
1133,63800345.0,121902351.97,62263116.8,39067373.0,37000000.0,1
1134,12876845.33,58802532.77,146385166.22,10445489.4,35200000.0,0
1135,188627625.0,218697005.91000003,302283324.04,192674274.12,35000000.0,1
1136,244808870.43,218697005.91000003,170523958.58,338393100.125,33000000.0,1
1137,238387017.21,218697005.91000003,157909233.72,119787107.46,35000000.0,1
1138,143408712.25,121379318.75,149525382.82,240386756.56,35000000.0,1
1139,130792473.0,208760096.15,187342059.13,153264634.94,29000000.0,1
1140,68348148.83,154520795.33,71617645.97,49374102.0,35000000.0,1
1141,145482505.0,77573898.69,122948646.87,60254004.33,35000000.0,1
1142,102261629.0,113179588.99,178622738.0,76460312.2,38000000.0,1
1143,173090726.5,187098877.82,207293204.17,156918210.79,35000000.0,1
1144,120311917.75,188506223.46,152176544.88,91414285.71,35000000.0,1
1145,145482505.0,123360207.25,144320709.83,56298716.25,35000000.0,1
1146,100515768.63,107545885.47,184379387.85,89511467.08,35000000.0,1
1147,106407369.2,68602789.75,136116267.3,69823199.0,35000000.0,1
1148,53294119.0,53075282.12,110235791.04,68915888.0,35000000.0,1
1149,177929399.67,91501875.99,142476087.98,135525581.0,27000000.0,1
1150,57829809.5,49652639.4,127098307.24,119992431.0,35000000.0,1
1151,311800296.0,89969873.42,160718506.8,43184907.5,35000000.0,1
1152,30259760.71,31648531.95,83234580.07,1213020.0,35000000.0,0
1153,89656182.0,112099893.67,76182865.61,63692467.5,35000000.0,1
1154,76479428.1,45547626.22,75551808.0,25504513.0,1800000.0,1
1155,136150402.0,123482903.64,91205019.91,84267906.43,33000000.0,1
1156,58304051.67,31363744.07,0.0,253392127.21,35000000.0,0
1157,58304051.67,70577508.95,133679099.6,30228018.8,35000000.0,1
1158,35985688.0,45795826.45,54567132.24,12903603.57,35000000.0,1
1159,119752628.67,116996785.06,70292516.07,108138120.33,35000000.0,1
1160,125205688.6,81472949.12,145756560.4,127171535.8,35000000.0,1
1161,130792473.0,97409367.94,126844092.64,117517201.0,35000000.0,1
1162,21288673.19,63885407.8,71125297.82,119451984.52,33000000.0,1
1163,122864762.0,55471961.47,102931959.33,92555158.0,35000000.0,1
1164,193200096.67,75076075.79,150827851.98,159286156.13,35000000.0,1
1165,91353501.0,166572799.95,83129255.84,91353501.0,35000000.0,1
1166,77584735.25,67006260.83,96651147.2,159286156.13,35000000.0,1
1167,153329059.22,39356004.14,102529616.63,23059048.5,33000000.0,0
1168,58405313.0,86341321.28,139211626.04,30228018.8,30000000.0,1
1169,76343449.6,53352326.49,82628984.79,266429178.43,35000000.0,1
1170,41492383.75,130423996.45,98594175.31,338393100.125,10700000.0,1
1171,102261629.0,58515721.55,83355274.98,313041883.04,35000000.0,0
1172,68479617.25,163112826.19,109286715.63,108138120.33,40000000.0,1
1173,77926777.25,70288513.86,69172513.29,92796973.33,35000000.0,1
1174,26739083.0,119119701.42,89177646.74,100342501.2,50000000.0,0
1175,41162095.67,44932591.08,152176544.88,35323292.0,36547234.16992855,0
1176,83298631.17,49239493.33,187221325.57,0.0,30000000.0,0
1177,51883421.4,87070611.75,141026695.61,159854539.43,27000000.0,1
1178,125602944.4,96615595.12,148167835.09,253392127.21,35000000.0,1
1179,75082772.33,63939104.96,96763193.61,44641901.33,35000000.0,1
1180,29745282.0,165114688.95,98507159.73,22739555.0,35000000.0,1
1181,70643831.8,113728451.89,144765228.04,57120318.0,35000000.0,1
1182,44292233.0,77983474.89,49304615.45,30228018.8,35000000.0,0
1183,75715479.0,66457463.53,69862104.0,121717147.78,35000000.0,1
1184,20445256.17,54202376.92,36719348.96,176706475.12,35000000.0,1
1185,150562222.22,89690029.72,142135489.09,36668801.12,35000000.0,0
1186,125602944.4,38319666.74,89936664.92,92591418.31,30000000.0,0
1187,4100000.0,78320462.22,23342035.36,37708691.67,19000000.0,0
1188,9661067.5,52593398.07,127469939.87,119787107.46,35000000.0,0
1189,68369434.0,84309835.49,131788350.45,50617819.33,30000000.0,1
1190,13694383.5,172818460.52,31307070.75,64126535.88,35000000.0,0
1191,87535665.67,115532997.17,105952984.07,82087155.0,35000000.0,1
1192,57829809.5,79828567.58,88156051.78,109453653.15,55000000.0,0
1193,12935917.0,60650351.41,58846779.42,16051055.0,35000000.0,0
1194,19701164.0,62008660.51,60673130.72,173730021.79,35000000.0,0
1195,76479428.1,112461905.16,43564861.54,19294901.0,35000000.0,0
1196,36282464.25,61352301.91,61998385.0,41208055.0,35000000.0,0
1197,137074624.8,71762414.27,123335759.49,97346159.22,35000000.0,1
1198,64778567.0,131550370.78,46216641.0,41493333.25,35000000.0,1
1199,61313051.67,89829255.19,82175103.95,121717147.78,35000000.0,1
1200,61007532.4,98342213.04,84134044.66,43209878.0,35000000.0,1
1201,39163527.33,119739077.7,152176544.88,0.0,35000000.0,0
1202,90641122.5,31898781.38,103159296.74,129427427.75,35000000.0,0
1203,51205524.88,91287725.01,52975750.96,119992431.0,35000000.0,0
1204,79938029.0,42790766.37,59060719.91,32079298.17,35000000.0,0
1205,132162913.33,189976257.23,39373638.55,94553166.67,35000000.0,0
1206,45834201.0,69379972.93,72765656.1,193873456.07,32000000.0,1
1207,182331619.17,88666079.78,154207676.66,178139366.95,35000000.0,0
1208,96423653.25,52882838.03,62797962.49,93177294.6,38000000.0,0
1209,10089373.0,64869230.03,64669388.47,10089373.0,35000000.0,0
1210,71103574.0,191955635.77,100306949.71,87678973.22,35000000.0,0
1211,276201692.46,75864607.76,147289452.64,41208055.0,35000000.0,1
1212,57454415.0,68029958.04,69053782.5,0.0,35000000.0,0
1213,201185312.0,84423093.93,151818368.57,184696592.55,35000000.0,1
1214,143408712.25,36915677.4,106381868.87,338393100.125,35000000.0,0
1215,168013423.29,52604048.54,101707223.78,338393100.125,35000000.0,0
1216,7958384.0,91383387.38,0.0,24899100.0,23000000.0,0
1217,314035182.495,218697005.91000003,264386396.78,338393100.125,34000000.0,1
1218,32797679.5,36935891.62,142497265.29,89583189.0,35000000.0,0
1219,100515768.63,65197407.59,141026695.61,92195150.2,30000000.0,1
1220,126843558.17,84052889.04,100100587.01,315569059.75,35000000.0,0
1221,11263966.0,72198904.07,101214387.7,12903603.57,34000000.0,0
1222,135142400.0,87433766.47,73696893.21,122950629.14,35000000.0,0
1223,33727479.0,58116609.76,263541751.58,63013281.0,34000000.0,1
1224,19598588.0,104214781.97,99101528.46,266429178.43,34000000.0,0
1225,0.0,53551605.02,141026695.61,0.0,34000000.0,0
1226,158414995.33,18546765.27,40137475.61,88443648.89,35000000.0,0
1227,57774756.33,55936605.65,40382659.0,46924862.5,35000000.0,1
1228,73072497.91,127071914.18,174209369.5,336236139.85,40000000.0,1
1229,75828305.67,62520041.76,140304286.22,46656536.4,33000000.0,1
1230,281923680.17,166089435.51,144498716.35,100342501.2,30000000.0,1
1231,64626786.0,84378439.16,100982033.93,36959098.0,30000000.0,1
1232,140470746.0,75644942.65,142135489.09,140470746.0,33000000.0,1
1233,0.0,42612639.52,144695944.19,8044230.0,33000000.0,0
1234,54700105.0,57606281.7,141262043.74,46361130.75,33000000.0,1
1235,73673374.67,96551431.54,98100178.02,41493333.25,30000000.0,1
1236,76343449.6,34302594.72,56457038.07,92591418.31,38000000.0,0
1237,69955000.33,76595055.64,114606050.75,338393100.125,32000000.0,1
1238,8053311.33,31176101.22,86099244.11,92555158.0,36547234.16992855,0
1239,290460726.4,182768264.36,128429548.33,117210137.0,33000000.0,1
